ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,001",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,002",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,003",879,6,Lower Pines,Pets Allowed,37.739442,18 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,004",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,005",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,012",879,6,Lower Pines,Pets Allowed,37.739442,18 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,015",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,017",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,019",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,021",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,022",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,023",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,024",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,025",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,026",879,6,Lower Pines,Pets Allowed,37.739442,18 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,027",879,6,Lower Pines,Pets Allowed,37.739442,40 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,028",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,029",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,030",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,031",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,032",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,033",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,034",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,035",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,036",879,6,Lower Pines,Pets Allowed,37.739442,40 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,037",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,038",879,6,Lower Pines,Pets Allowed,37.739442,40 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,039",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,040",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,041",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,042",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,043",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,064",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,044",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,045",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,046",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,047",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,065",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,066",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,067",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,068",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,069",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,048",879,6,Lower Pines,Pets Allowed,37.739442,18 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,050",879,6,Lower Pines,Pets Allowed,37.739442,40 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,051",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,052",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,053",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,054",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,070",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,071",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,072",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,073",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,074",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,075",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,055",879,6,Lower Pines,Pets Allowed,37.739442,40 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,056",879,6,Lower Pines,Pets Allowed,37.739442,27 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,057",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,058",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,059",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,076",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,088",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,089",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,DBL1",879,12,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,060",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,062",879,6,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,063",879,6,Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,DBL2",879,12,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,RV NONELECTRIC,LP,-119.56642,"Map
,DBL3",879,12,Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,007",879,"6
",Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,013",879,"6
",Lower Pines,Pets Allowed,37.739442,24 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,014",879,"6
",Lower Pines,Pets Allowed,37.739442,30 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,018",879,"6
",Lower Pines,Pets Allowed,37.739442,35 Back-In
Yosemite,4.5,STANDARD NONELECTRIC,LP,-119.56642,"Map
,020",879,"6
",Lower Pines,Pets Allowed,37.739442,40 Back-In
